source,arm,app_status,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
SIPP,0,0,true,1993,1,0.6068598273752753,0.2888231536630764,849.9943489878484,7.5176423750533115
SIPP,0,0,true,1993,2,0.611825351194948,0.27621384424008677,863.5703097092758,7.514355303467844
SIPP,0,0,true,1994,0,0.6388235993072429,0.2657480593383928,906.6879954472478,7.537608092480169
SIPP,0,0,true,1994,1,0.6442271299153933,0.2670092296563898,906.5064925520466,7.5298179391834825
SIPP,0,0,true,1994,2,0.6600842716392787,0.2463009778132726,921.4623480379796,7.530855493915571
SIPP,0,0,true,1995,0,0.680334382721179,0.23571890199584072,1020.2734486010413,7.5827018932854005
SIPP,0,0,true,1995,1,0.6756413491076939,0.23449675879731052,971.2090859284091,7.560684882598212
SIPP,0,0,true,1995,2,0.6811997652840174,0.20534940310692523,1031.974973819948,7.56458300803648
FTP,0,0.0,true,1994,2,0.2960237136453452,0.8272387502898366,79.31858959339301,7.351875903413981
FTP,0,0.0,true,1994,3,0.31996288845529064,0.8216518170560059,105.33476478079345,7.353823598664801
FTP,0,0.0,true,1995,0,0.3622616181959848,0.7817107884560721,148.2431855856501,7.364749905968923
FTP,0,0.0,true,1995,1,0.37566160557693656,0.7283111515763896,172.82417244293535,7.367744267500235
FTP,0,0.0,true,1995,2,0.37640750570883236,0.6816880936602822,189.98601630802966,7.37224049320057
FTP,0,0.0,true,1995,3,0.40799555644025143,0.6408566597177053,214.42074280374595,7.381607229937286
FTP,0,0.0,true,1996,0,0.4513885860730508,0.602381687958277,252.3266874402309,7.386840526320798
FTP,0,0.0,true,1996,1,0.49489470819311243,0.5593953712881212,296.27361211089766,7.396065923226294
FTP,0,0.0,true,1996,2,0.5052863579241569,0.5124143938570048,312.53350573698856,7.399290102110662
FTP,0,0.0,true,1996,3,0.5195279152185697,0.47459812190087736,334.5535084014805,7.394185901865569
FTP,0,0.0,true,1997,0,0.515722306307897,0.43941546352273947,326.76352644982,7.384467668320182
FTP,0,0.0,true,1997,1,0.5462955763389008,0.41691342208254134,354.82618463967503,7.385101350808888
FTP,0,0.0,true,1997,2,0.5334462838515946,0.38412850055646797,351.8871739214704,7.381842440058797
