source,variable,year,Q,value,case,sd,q25,q75
CTJF,Behavioral Skill,1996,0,-7.937515520079162,Treatment,8.352553786976905,-15.407599404919367,3.1523930874090533
CTJF,Cognitive Skill,1996,0,-0.312710000230841,Treatment,20.09136392493944,-19.949976856610185,16.833159380198293
CTJF,CEV,1996,0,2.458673105895433,Treatment,0.4378292777096322,1.3065145668775593,2.6858565760951043
FTP,Behavioral Skill,1994,0,-5.25272736661751,Treatment,7.9699549034402075,-13.07790262191784,5.1008034543548115
FTP,Cognitive Skill,1994,0,-0.6656264538042778,Treatment,25.18145038036904,-17.266622737473085,17.83000185401323
FTP,CEV,1994,0,0.3279220523825023,Treatment,0.3583446791693514,-0.5855348736767524,0.44207949446097217
MFIP,Behavioral Skill,1994,0,-16.17495586423976,Treatment,13.895124991547021,-38.013060044752436,-5.127111916668733
MFIP,Cognitive Skill,1994,0,-6.077276299164108,Treatment,26.436838728547503,-27.749033113461365,6.773062194879547
MFIP,CEV,1994,0,1.0732253697997953,Treatment,0.6057211791976318,-0.3213176507609387,1.2667200058924253
CTJF,Behavioral Skill,1996,0,-6.133996050841363,Incentives Only,5.797538698753804,-13.735036238089778,0.3444916427841659
CTJF,Cognitive Skill,1996,0,-2.19304517883431,Incentives Only,16.871879364456518,-13.788805954397775,4.980142263583324
CTJF,CEV,1996,0,2.348502039935518,Incentives Only,0.42751126874910267,1.2110776007504043,2.487495891231067
FTP,Behavioral Skill,1994,0,-0.41034103681116174,Incentives Only,0.7091959341564044,-0.9719900153742275,0.506245539339355
FTP,Cognitive Skill,1994,0,0.020614692736743864,Incentives Only,0.8968367988200135,-1.1494163895573928,1.4453200581198482
FTP,CEV,1994,0,0.22534674375048902,Incentives Only,0.2680433251223371,-0.6169379890858911,0.2291321596515706
MFIP,Behavioral Skill,1994,0,-3.552934164436476,Incentives Only,3.9491484919376387,-10.020283298856834,-0.623528708231254
MFIP,Cognitive Skill,1994,0,-1.1512035828052034,Incentives Only,8.38549558226373,-6.1709224564424074,1.8267112048244099
MFIP,CEV,1994,0,0.9590005660225068,Incentives Only,0.5081044374962493,-0.24499812702966267,1.024926489557874
CTJF,Behavioral Skill,1996,0,-4.023183375399455,Work Requirements Only,4.724217871744433,-8.328563121138743,3.41745155468738
CTJF,Cognitive Skill,1996,0,0.4340278179751062,Work Requirements Only,8.371103983041454,-8.526974112893422,11.090991299133343
CTJF,CEV,1996,0,0.10085412865065811,Work Requirements Only,0.1293027967173643,-0.1312701309960141,0.30027846923450824
FTP,Behavioral Skill,1994,0,-5.2149064972848365,Work Requirements Only,7.225920981702193,-12.313746755745663,4.698582656012705
FTP,Cognitive Skill,1994,0,-0.9334205841072958,Work Requirements Only,24.9095481253248,-16.586959810377635,14.37336145681088
FTP,CEV,1994,0,0.10113730940106368,Work Requirements Only,0.1347585668352218,-0.2071346878323696,0.24828452926099864
MFIP,Behavioral Skill,1994,0,-12.084072268597556,Work Requirements Only,9.737625582042053,-27.36694624507499,-3.417554004989986
MFIP,Cognitive Skill,1994,0,-4.724322904460701,Work Requirements Only,18.91466836635173,-19.208844289417314,5.414713848991902
MFIP,CEV,1994,0,0.10991357572812233,Work Requirements Only,0.15420842536026935,-0.13077033480696773,0.3157735441845334
CTJF,Behavioral Skill,1996,0,0.5065683760212196,Time Limits Only,0.7832039204389738,-0.5948540124928898,1.8373373060538427
CTJF,Cognitive Skill,1996,0,0.6526647652781793,Time Limits Only,0.9973027486659848,-0.41776206790374804,2.1624152188212844
CTJF,CEV,1996,0,-9.773153422497312e-8,Time Limits Only,3.702520422971257e-5,-9.978051739218177e-6,-7.456642962945683e-11
FTP,Behavioral Skill,1994,0,0.16098479758968484,Time Limits Only,0.8824554113808708,-0.8722944646909367,1.629522700706343
FTP,Cognitive Skill,1994,0,0.2999367940887412,Time Limits Only,1.0617202521212088,-0.8190640133287586,1.8619231752175331
FTP,CEV,1994,0,-3.806306449653435e-7,Time Limits Only,4.860690281383845e-5,-4.657384958843945e-6,4.51612495033397e-6
MFIP,Behavioral Skill,1994,0,0.0,Time Limits Only,0.0,0.0,0.0
MFIP,Cognitive Skill,1994,0,0.0,Time Limits Only,0.0,0.0,0.0
MFIP,CEV,1994,0,0.0,Time Limits Only,0.0,0.0,0.0
