source,arm,app_status,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
SIPP,0,0,true,1993,1,0.605382519653785,0.2893948721695467,819.9010490033705,7.050166695365251
SIPP,0,0,true,1993,2,0.6157735261421762,0.2748483169693163,840.6291446262496,7.057681403257877
SIPP,0,0,true,1994,0,0.6391530022140077,0.2661908852611559,890.5093877506333,7.117257098381158
SIPP,0,0,true,1994,1,0.6477357670881514,0.2654080408818679,890.3643024976728,7.111184115278979
SIPP,0,0,true,1994,2,0.6650764615971222,0.24718521660993764,919.1651271486439,7.1187366548244295
SIPP,0,0,true,1995,0,0.6804291381332335,0.23915743864889302,1028.177244857506,7.181278404591339
SIPP,0,0,true,1995,1,0.6859083236094262,0.23596958465257356,1009.600589462945,7.156839939500947
SIPP,0,0,true,1995,2,0.6799520836696252,0.20809417356429127,1053.0813016961383,7.1472351008481425
FTP,0,0.0,true,1994,2,0.31039295768122555,0.8550211554246667,78.32063353241035,6.792269425922887
FTP,0,0.0,true,1994,3,0.3302633435788471,0.8509757515434229,103.85297506905522,6.78070650000504
FTP,0,0.0,true,1995,0,0.372378287833908,0.8116052834473292,149.03331613316058,6.793646597301276
FTP,0,0.0,true,1995,1,0.38372241228198367,0.7573532566821544,178.67068120182574,6.793588919626255
FTP,0,0.0,true,1995,2,0.3677677779305303,0.7135001638681608,192.31391174864063,6.779602544192611
FTP,0,0.0,true,1995,3,0.40329791017723904,0.6717191785646079,219.19713656464168,6.802646624636472
FTP,0,0.0,true,1996,0,0.4550025992537018,0.6335611038880906,255.4327570980407,6.79393835836907
FTP,0,0.0,true,1996,1,0.5058322014441252,0.587877938304184,298.17438167455305,6.814752346439389
FTP,0,0.0,true,1996,2,0.5079959617472687,0.5411514259321965,315.4158506457917,6.812630337881207
FTP,0,0.0,true,1996,3,0.5210240516428197,0.5031817969239268,337.31933939949414,6.800144845231569
FTP,0,0.0,true,1997,0,0.5269636080550361,0.4686218801324803,332.02063463549473,6.762438650631099
FTP,0,0.0,true,1997,1,0.5493417978436655,0.4448403113808334,353.6199042271554,6.753266751407564
FTP,0,0.0,true,1997,2,0.53264615265827,0.41199824340925095,355.2249421381466,6.734093785304469
FTP,0,0.0,true,1997,3,0.5500144820450039,0.3595372650483354,366.89032930211147,6.733273523760372
FTP,0,0.0,true,1998,0,0.5664984922103193,0.3382347123622062,386.99307074978975,6.750575994111543
FTP,0,0.0,true,1998,1,0.5681833974240541,0.29716939792518177,388.97915357720615,6.733090393262723
FTP,0,0.0,true,1998,2,0.5856269104610247,0.2851011972463685,413.6356493196384,6.804481643290342
FTP,0,0.0,true,1998,3,0.5857745954239976,0.269103918468871,426.973409041992,6.736080539627831
FTP,0,0.0,true,1999,0,0.6102865796621326,0.2597481603465177,446.3175880638872,6.784305985821695
FTP,0,1.0,true,1994,2,0.5061818764798737,0.5891926840545535,205.92045628643922,6.863093326960053
FTP,0,1.0,true,1994,3,0.5306806987206389,0.5824024750767495,247.7605456416029,6.936442498599157
FTP,0,1.0,true,1995,0,0.5277711861013195,0.6153540146900298,269.13451254501933,6.942141624787587
FTP,0,1.0,true,1995,1,0.5186549448455228,0.545032013959438,292.29249900824476,6.89490466618002
FTP,0,1.0,true,1995,2,0.512133838942125,0.46985324451610855,296.85309238152524,6.887247475238872
FTP,0,1.0,true,1995,3,0.49324157077926456,0.4683479384691333,295.5203337349998,6.883500467178782
FTP,0,1.0,true,1996,0,0.4548781094021503,0.44498597114351357,282.4860174716218,6.855501371615216
FTP,0,1.0,true,1996,1,0.4927410599843371,0.40517515328879167,313.5403123569787,6.864586069696499
FTP,0,1.0,true,1996,2,0.46824213510462753,0.3740451755259954,312.7933105406029,6.838219625287968
FTP,0,1.0,true,1996,3,0.47017082637819696,0.33265363974787343,323.06989798292057,6.847859187953677
FTP,0,1.0,true,1997,0,0.47365202164499726,0.3201084032359557,325.7211647151307,6.819030147173397
FTP,0,1.0,true,1997,1,0.4794041248953366,0.3123725780589477,325.64705960079743,6.80270673541507
FTP,0,1.0,true,1997,2,0.493963955872063,0.28228196782380516,351.4298199304853,6.842011958443178
FTP,0,1.0,true,1997,3,0.49357363304448126,0.27051746137102883,382.0003919775718,6.829697577680802
FTP,0,1.0,true,1998,0,0.5157250283146627,0.23786857936178982,397.5024412601588,6.821434727027566
FTP,0,1.0,true,1998,1,0.5000092394203478,0.22316333091973756,396.08098823460705,6.810757680354797
FTP,0,1.0,true,1998,2,0.5285339755707654,0.2108803621432089,426.1917942068169,6.865261484312581
